time,x,y,yaw,speed,speed_error,cross_track_error,yaw_rate,thrust_L,thrust_R,steer_L,steer_R,min_cost
34.3200,-0.1620,-0.0052,0.0002,0.0038,1.2962,0.0004,0.0012,-1.2580,19.7265,-0.0030,-0.0030,17443.4844
34.3640,-0.1620,-0.0052,0.0002,0.0038,1.2962,0.0004,0.0012,-22.1576,45.6353,0.0003,-0.0029,14169.5156
34.4080,-0.1607,-0.0013,0.0002,0.0044,1.2956,0.0045,-0.0002,-5.2584,66.1517,-0.0013,-0.0019,11892.3809
34.4880,-0.1600,0.0002,0.0003,0.0032,1.2968,0.0062,-0.0015,19.1462,91.8755,0.0010,0.0016,11235.3945
34.5920,-0.1600,0.0003,0.0008,0.0031,1.2969,0.0063,0.0027,10.3230,126.5883,0.0002,-0.0010,10572.6182
34.6880,-0.1596,0.0004,0.0018,0.0031,1.2969,0.0064,-0.0040,5.3303,168.4769,0.0019,0.0010,10195.0859
34.7800,-0.1586,0.0003,0.0034,0.0036,1.2964,0.0068,0.0130,7.8394,212.7396,0.0035,0.0024,9657.3652
34.8880,-0.1565,0.0003,0.0058,0.0051,1.2949,0.0081,0.0205,-15.7921,253.3868,0.0039,0.0049,9306.9395
34.9840,-0.1531,0.0004,0.0092,0.0080,1.2920,0.0107,0.0365,-17.8743,295.4933,0.0052,0.0038,8847.1582
35.0720,-0.1481,0.0003,0.0140,0.0123,1.2877,0.0151,0.0522,5.0807,337.7979,0.0073,0.0073,8615.1172
35.2200,-0.1411,0.0004,0.0201,0.0183,1.2817,0.0217,0.0577,-5.4462,374.9565,0.0105,0.0098,8317.2490
35.2680,-0.1318,0.0007,0.0277,0.0262,1.2738,0.0309,0.0720,-20.8738,416.7799,0.0110,0.0129,8043.9331
35.3640,-0.1197,0.0008,0.0365,0.0363,1.2637,0.0428,0.0870,-42.2683,459.2199,0.0145,0.0167,7752.5913
35.4800,-0.1045,0.0011,0.0470,0.0487,1.2513,0.0579,0.1070,-73.0263,500.5677,0.0168,0.0202,7526.4136
35.5720,-0.0860,0.0019,0.0591,0.0635,1.2365,0.0764,0.1197,-100.6187,536.7810,0.0175,0.0231,7286.3960
35.6680,-0.0640,0.0026,0.0730,0.0808,1.2192,0.0984,0.1228,-99.2153,572.8145,0.0207,0.0266,7169.2925
35.7720,-0.0383,0.0038,0.0889,0.1004,1.1996,0.1241,0.1625,-115.8216,605.5089,0.0218,0.0297,6987.5747
35.8720,-0.0089,0.0055,0.1066,0.1223,1.1777,0.1535,0.1635,-122.1203,641.8194,0.0236,0.0331,6851.6265
35.9640,0.0243,0.0076,0.1259,0.1465,1.1535,0.1868,0.1818,-155.0324,664.2228,0.0254,0.0363,6721.3604
36.0640,0.0615,0.0104,0.1469,0.1728,1.1272,0.2241,0.2182,-164.0550,675.2895,0.0260,0.0399,6564.9399
