time,x,y,yaw,speed,speed_error,cross_track_error,yaw_rate,thrust_L,thrust_R,steer_L,steer_R,min_cost
82.6920,-1.5004,-3.5793,-0.4684,0.0541,1.2459,0.0057,-0.0113,14.5356,16.6838,-0.0030,-0.0008,22657.7422
82.7440,-1.5004,-3.5793,-0.4684,0.0541,1.2459,0.0057,-0.0113,41.3103,22.1595,-0.0035,0.0018,20131.1836
82.8240,-1.5566,-3.6979,-0.4819,0.0581,1.2419,0.1370,-0.0142,72.6390,21.5714,0.0007,0.0056,18320.9609
82.9240,-1.5586,-3.7030,-0.4825,0.0579,1.2421,0.1424,-0.0080,106.9977,16.5308,0.0028,0.0077,17385.5957
83.0240,-1.5605,-3.7081,-0.4832,0.0577,1.2423,0.1478,-0.0113,136.3545,-13.1938,0.0026,0.0094,17043.7578
83.1200,-1.5621,-3.7135,-0.4844,0.0576,1.2424,0.1534,-0.0080,177.1659,-35.5970,-0.0016,0.0071,16319.5449
83.2240,-1.5630,-3.7192,-0.4861,0.0576,1.2424,0.1590,-0.0280,212.6412,-76.1720,-0.0028,0.0066,15940.2441
83.3240,-1.5631,-3.7253,-0.4889,0.0577,1.2423,0.1647,-0.0345,250.0943,-86.7297,0.0004,0.0097,15492.9492
83.4240,-1.5623,-3.7320,-0.4930,0.0581,1.2419,0.1705,-0.0592,289.8540,-101.9426,-0.0016,0.0080,15140.4121
83.5280,-1.5604,-3.7394,-0.4986,0.0589,1.2411,0.1766,-0.0608,330.8525,-122.3709,-0.0018,0.0071,14802.2607
83.6520,-1.5574,-3.7474,-0.5059,0.0604,1.2396,0.1831,-0.0825,371.7632,-147.6565,-0.0013,0.0071,14571.7529
83.7160,-1.5531,-3.7562,-0.5151,0.0629,1.2371,0.1902,-0.1040,387.4198,-173.7168,-0.0044,0.0047,14217.2197
83.8200,-1.5475,-3.7655,-0.5252,0.0665,1.2335,0.1976,-0.1032,426.5468,-207.0588,-0.0064,0.0044,14047.9746
83.9200,-1.5405,-3.7768,-0.5391,0.0716,1.2284,0.2070,-0.1225,464.3544,-241.4440,-0.0090,0.0014,13857.9268
84.0200,-1.5318,-3.7887,-0.5542,0.0782,1.2218,0.2172,-0.1542,496.7170,-250.0000,-0.0122,-0.0009,13631.8955
84.1200,-1.5217,-3.8018,-0.5715,0.0864,1.2136,0.2289,-0.1842,529.1942,-250.0000,-0.0126,-0.0021,13403.8467
84.2240,-1.5100,-3.8161,-0.5909,0.0962,1.2038,0.2422,-0.2000,550.4924,-250.0000,-0.0136,-0.0025,13228.2041
84.3200,-1.4969,-3.8317,-0.6125,0.1074,1.1926,0.2575,-0.2265,583.1280,-250.0000,-0.0160,-0.0041,13051.1465
84.4200,-1.4822,-3.8486,-0.6358,0.1201,1.1799,0.2748,-0.2457,599.6573,-250.0000,-0.0173,-0.0052,12866.1484
84.5160,-1.4658,-3.8670,-0.6608,0.1342,1.1658,0.2945,-0.2435,605.9227,-250.0000,-0.0197,-0.0073,12702.5664
84.6560,-1.4478,-3.8870,-0.6872,0.1497,1.1503,0.3168,-0.2615,630.3885,-250.0000,-0.0225,-0.0093,12452.5752
84.7280,-1.4279,-3.9088,-0.7150,0.1667,1.1333,0.3418,-0.2970,636.5485,-250.0000,-0.0262,-0.0113,12230.9336
84.8280,-1.4062,-3.9325,-0.7437,0.1852,1.1148,0.3699,-0.3035,647.8121,-250.0000,-0.0281,-0.0128,12038.2627
84.9240,-1.3826,-3.9583,-0.7733,0.2051,1.0949,0.4010,-0.3112,659.7203,-250.0000,-0.0300,-0.0150,11955.9023
85.0200,-1.3572,-3.9861,-0.8036,0.2263,1.0737,0.4352,-0.3115,666.4596,-250.0000,-0.0324,-0.0146,11862.1982
85.1160,-1.3301,-4.0161,-0.8345,0.2488,1.0512,0.4726,-0.3207,676.3941,-250.0000,-0.0353,-0.0158,11750.4570
